Station Code,Name,Date,Temp,Prec,WS,Humi,Pres
108,서울,2020-03-15,4,,3.6,48.3,1001.4
108,서울,2020-03-16,3.6,,2.8,42.4,1011.4
108,서울,2020-03-17,6.6,,2.1,65.8,1005
108,서울,2020-03-18,10,,1.8,45.8,1002.6
108,서울,2020-03-19,9.1,0,4.8,49,995.6
108,서울,2020-03-20,8.8,,3.1,39.6,1003.3
108,서울,2020-03-21,12.8,,2,56.5,1001.3
108,서울,2020-03-22,11,,3,37.5,1004
108,서울,2020-03-23,10.6,,1.9,37.9,1006.7
108,서울,2020-03-24,11.4,,1.8,35,1009.8
108,서울,2020-03-25,12.5,,1.9,33.6,1009.7
108,서울,2020-03-26,14.8,1.8,1.9,53.8,1004.9
108,서울,2020-03-27,11.9,2,3.3,56.4,1003.2
108,서울,2020-03-28,7.7,,3.2,17.9,1010.8
108,서울,2020-03-29,8.7,,2,30.6,1010.9
108,서울,2020-03-30,10.2,,1.8,38.4,1010.1
108,서울,2020-03-31,11.9,,2,34.5,1007
108,서울,2020-04-01,11.3,,3.7,35.6,1004.5
108,서울,2020-04-02,9.3,,2.3,41.4,1011.6
108,서울,2020-04-03,10,,2.7,53.8,1010.5
108,서울,2020-04-04,8.9,,3.4,36.4,1008.6
108,서울,2020-04-05,7.2,,2.8,29.5,1011.8
108,서울,2020-04-06,9.3,,2.4,38.3,1010
108,서울,2020-04-07,10.6,,2.5,56.6,1005.3
108,서울,2020-04-08,9.4,,3.5,25.5,1007.8
108,서울,2020-04-09,8.9,,2.8,44.6,1011.5
108,서울,2020-04-10,10.7,,2.4,52.6,1014
108,서울,2020-04-11,9.9,,2.5,63.8,1009.1
108,서울,2020-04-12,9.9,,3.8,58.6,1004.4
108,서울,2020-04-13,12.4,,3.1,39.4,1003.9
108,서울,2020-04-14,13,,2.4,46.8,1006.3
108,서울,2020-04-15,13.2,,2.2,39.8,1004.6
108,서울,2020-04-16,16,,2.3,39.9,1006.1
108,서울,2020-04-17,12.5,6.5,2.4,77.8,1002.2
108,서울,2020-04-18,13.5,,2.6,67.9,1005.9
108,서울,2020-04-19,12.3,10.3,2.7,75.8,1004.1
108,서울,2020-04-20,10,0.1,3.3,73,1000.6
108,서울,2020-04-21,7.4,,4.4,49,1003.8
108,서울,2020-04-22,6,0,4,46.8,1005.9
108,서울,2020-04-23,7.9,,3.7,47.8,1005.6
108,서울,2020-04-24,9.9,,3.9,55.6,1003.1
108,서울,2020-04-25,13.1,,3.9,54.4,999.3
108,서울,2020-04-26,12.3,,3.2,43.1,1006.9
108,서울,2020-04-27,12.9,,2.8,49.8,1009.3
108,서울,2020-04-28,13.9,,3,50,1009.4
108,서울,2020-04-29,14.9,,2.6,48.6,1009
108,서울,2020-04-30,17.1,,2.7,57.1,1005.7
108,서울,2020-05-01,20.2,,2.7,73.6,1003
108,서울,2020-05-02,20.3,0,2.3,79.6,1001.3
108,서울,2020-05-03,21.8,0,2,68.8,996
108,서울,2020-05-04,20.2,,2.7,63.9,998.1
108,서울,2020-05-05,16,,1.9,67.9,1001.5
108,서울,2020-05-06,19.4,,2.1,50,1003.7
108,서울,2020-05-07,20.7,,2.5,32.5,1007.1
108,서울,2020-05-08,19.9,2.3,2.4,32.8,1004.4
108,서울,2020-05-09,14.2,24.4,3.6,94.4,994.8
108,서울,2020-05-10,14.4,1.3,2.5,88.6,997
108,서울,2020-05-11,16.5,3.4,3,61,997.7
108,서울,2020-05-12,14.3,0.7,2.9,69.4,995.1
108,서울,2020-05-13,16.1,,2.8,47.3,1005.1
108,서울,2020-05-14,19.3,,2,35.4,1006
108,서울,2020-05-15,16.1,12,3,81.4,998.8
108,서울,2020-05-16,16.7,2.5,1.6,90.3,996.6
108,서울,2020-05-17,19.1,0,1.7,80.1,995.3
108,서울,2020-05-18,19.1,29.8,2.4,79.4,988.4
108,서울,2020-05-19,13,19,3.2,73.6,990.7
108,서울,2020-05-20,14.4,0,1.9,60.4,1001.7
108,서울,2020-05-21,17.4,,2.1,56.1,1004.4
108,서울,2020-05-22,18.5,0,1.9,68.5,1002.7
108,서울,2020-05-23,20.1,0,2.2,66.1,1001.1
108,서울,2020-05-24,17.1,14.5,2.9,84.8,999.6
108,서울,2020-05-25,16.6,,2.1,81,1002.3
108,서울,2020-05-26,16.2,1.5,2.1,81.9,999.4
108,서울,2020-05-27,17.4,,2.6,68.5,999.3
108,서울,2020-05-28,18.7,0,1.9,62.8,999.6
108,서울,2020-05-29,20.7,,2,65.6,1004.9
108,서울,2020-05-30,22.6,,1.9,57.3,1006.1
108,서울,2020-05-31,21.2,1,2.3,63,1001.4
108,서울,2020-06-01,19.7,0.4,3.4,64.3,999.7
108,서울,2020-06-02,17.9,2,2.2,71,997.4
108,서울,2020-06-03,22,,2.4,73.3,993.9
108,서울,2020-06-04,21.9,0.2,2.7,81.1,994.1
108,서울,2020-06-05,23,,1.8,69.4,997.2
108,서울,2020-06-06,24.6,,2,63.6,998.1
108,서울,2020-06-07,22.7,,2.3,69.4,1001.9
108,서울,2020-06-08,25,,2.1,63.6,1004.6
108,서울,2020-06-09,26.7,,2.3,51.6,1004.3
108,서울,2020-06-10,25.8,6.2,2,63.8,998.9
108,서울,2020-06-11,26.1,0,2.2,68.3,993.7
108,서울,2020-06-12,24.7,,1.7,68.6,995.1
108,서울,2020-06-13,26.9,0,1.9,52.8,994.3
108,서울,2020-06-14,24,1.1,2.9,70.6,994.3
108,서울,2020-06-15,23,,2.8,62.3,996.4
