Station Code,Station,Date,cbwd
108 ,서울,2019-08-13,270 
108 ,서울,2019-08-14,70 
108 ,서울,2019-08-15,50 
108 ,서울,2019-08-16,270 
108 ,서울,2019-08-17,270 
108 ,서울,2019-08-18,270 
108 ,서울,2019-08-19,50 
108 ,서울,2019-08-20,70 
108 ,서울,2019-08-21,50 
108 ,서울,2019-08-22,270 
108 ,서울,2019-08-23,270 
108 ,서울,2019-08-24,270 
108 ,서울,2019-08-25,50 
108 ,서울,2019-08-26,50 
108 ,서울,2019-08-27,290 
108 ,서울,2019-08-28,270 
108 ,서울,2019-08-29,160 
108 ,서울,2019-08-30,200 
108 ,서울,2019-08-31,230 
108 ,서울,2019-09-01,340 
108 ,서울,2019-09-02,320 
108 ,서울,2019-09-03,360 
108 ,서울,2019-09-04,360 
108 ,서울,2019-09-05,360 
108 ,서울,2019-09-06,360 
108 ,서울,2019-09-07,360 
108 ,서울,2019-09-08,160 
108 ,서울,2019-09-09,340 
108 ,서울,2019-09-10,360 
108 ,서울,2019-09-11,360 
108 ,서울,2019-09-12,360 
108 ,서울,2019-09-13,360 
108 ,서울,2019-09-14,320 
108 ,서울,2019-09-15,340 
108 ,서울,2019-09-16,360 
108 ,서울,2019-09-17,360 
108 ,서울,2019-09-18,230 
108 ,서울,2019-09-19,270 
108 ,서울,2019-09-20,360 
108 ,서울,2019-09-21,360 
108 ,서울,2019-09-22,360 
108 ,서울,2019-09-23,290 
108 ,서울,2019-09-24,230 
108 ,서울,2019-09-25,340 
108 ,서울,2019-09-26,340 
108 ,서울,2019-09-27,360 
108 ,서울,2019-09-28,230 
108 ,서울,2019-09-29,230 
108 ,서울,2019-09-30,230 
108 ,서울,2019-10-01,320 
108 ,서울,2019-10-02,360 
108 ,서울,2019-10-03,340 
108 ,서울,2019-10-04,360 
108 ,서울,2019-10-05,360 
108 ,서울,2019-10-06,360 
108 ,서울,2019-10-07,360 
108 ,서울,2019-10-08,250 
108 ,서울,2019-10-09,230 
108 ,서울,2019-10-10,320 
108 ,서울,2019-10-11,360 
108 ,서울,2019-10-12,360 
108 ,서울,2019-10-13,360 
108 ,서울,2019-10-14,250 
108 ,서울,2019-10-15,360 
108 ,서울,2019-10-16,230 
108 ,서울,2019-10-17,360 
108 ,서울,2019-10-18,360 
108 ,서울,2019-10-19,230 
108 ,서울,2019-10-20,320 
108 ,서울,2019-10-21,320 
108 ,서울,2019-10-22,70 
108 ,서울,2019-10-23,70 
108 ,서울,2019-10-24,70 
108 ,서울,2019-10-25,70 
108 ,서울,2019-10-26,270 
108 ,서울,2019-10-27,290 
108 ,서울,2019-10-28,200 
108 ,서울,2019-10-29,270 
108 ,서울,2019-10-30,270 
108 ,서울,2019-10-31,230 
108 ,서울,2019-11-01,290 
108 ,서울,2019-11-02,290 
108 ,서울,2019-11-03,70 
108 ,서울,2019-11-04,70 
108 ,서울,2019-11-05,20 
108 ,서울,2019-11-06,290 
108 ,서울,2019-11-07,320 
108 ,서울,2019-11-08,290 
108 ,서울,2019-11-09,290 
108 ,서울,2019-11-10,70 
108 ,서울,2019-11-11,290 
108 ,서울,2019-11-12,20 
108 ,서울,2019-11-13,50 
108 ,서울,2019-11-14,290 
108 ,서울,2019-11-15,70 
108 ,서울,2019-11-16,50 
108 ,서울,2019-11-17,70 
108 ,서울,2019-11-18,270 
108 ,서울,2019-11-19,290 
108 ,서울,2019-11-20,290 
108 ,서울,2019-11-21,50 
108 ,서울,2019-11-22,70 
